"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"202","Andrea Conti",23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,NA
"203","Andrea Petagna",529,0,0,0,9,7,4,1,2,3,0,0,0,12,5,6,NA
"204","Andrea Pinamonti",1157,2,0,0,9,14,4,7,1,4,0,0,0,18,20,49,478.3
"205","Andrea Ranocchia",47,0,0,0,2,0,0,0,0,1,0,0,0,1,1,2,33.3
"206","Andreas Bruus",506,2,0,0,1,3,0,43,5,1,0,0,0,22,0,2,NA
"207","Andreas Christensen",804,2,0,0,5,5,1,0,10,5,0,0,0,53,17,4,NA
"208","Andreas Cornelius",201,1,0,0,8,5,1,1,0,1,0,0,0,4,17,14,292.5
"209","Andreas Pereira",1240,3,0,0,17,16,2,92,4,5,0,1,0,59,5,12,NA
"210","Andreas Skov Olsen",427,0,0,0,2,4,2,24,1,2,0,0,0,14,3,4,NA
"211","Andreas Ulmer",375,1,0,0,4,2,0,11,4,1,1,0,0,28,3,1,NA
"212","Andrei Girotto",1242,3,0,0,23,15,0,4,40,29,0,1,0,60,29,16,NA
"213","Andrej Kramarić",1231,1,0,0,3,15,3,17,1,1,0,0,0,55,4,6,NA
"214","Andrés Guardado",344,2,0,0,7,2,0,7,6,7,0,0,0,30,0,8,NA
"215","Andrew Gravillon",1032,3,0,0,18,14,0,16,21,8,0,0,0,64,13,12,NA
"216","Andrew Robertson",1060,0,0,0,5,3,1,98,5,3,0,0,0,64,12,10,NA
"217","Andrey Lunyov",90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"218","Andries Noppert",270,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,NA
"219","Andrija Živković",133,0,0,0,2,3,0,5,2,2,0,0,0,8,1,2,NA
"220","Andriy Lunin",540,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,NA
"221","Andriy Totovytskyi",17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
"222","Andy Delort",746,0,0,0,7,9,7,15,1,0,0,0,0,12,25,25,NA
"223","Ángel Algobia",362,2,0,0,12,2,0,4,1,6,0,0,0,21,2,4,NA
"224","Ángel Correa",828,0,0,0,12,11,7,22,7,2,0,0,0,26,2,8,NA
"225","Ángel Di María",609,0,1,0,5,9,4,36,1,3,0,0,0,28,1,1,NA
"226","Angel Gomes",1097,4,0,0,25,20,0,31,5,9,1,0,0,58,2,12,NA
"227","Ángel Rodríguez",149,0,0,0,1,1,1,1,0,0,0,0,0,2,7,2,NA
"228","Angeliño",1174,1,0,0,8,13,4,93,9,6,0,0,0,64,6,11,NA
"229","Angelo Fulgini",493,0,0,0,7,12,1,7,5,5,0,0,0,27,4,8,NA
"230","Angelo Ogbonna",27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100
"231","Ángelo Preciado",264,0,0,0,8,2,0,8,6,5,0,0,0,10,3,2,166.7
"232","Angelo Stiller",241,0,0,0,3,0,0,3,3,7,0,0,0,17,6,2,NA
"233","Anis Ben Slimane",148,0,0,0,0,0,0,8,1,1,0,0,0,5,5,3,125
"234","Ansgar Knauff",848,1,0,0,8,10,1,9,14,14,1,0,0,63,4,10,NA
"235","Ansu Fati",713,0,0,0,11,5,6,8,3,6,0,0,0,28,3,12,NA
"236","Ante Budimir",554,1,0,0,15,9,5,1,2,1,1,0,0,10,28,30,NA
"237","Ante Palaversa",10,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,NA
"238","Ante Rebić",662,2,0,0,18,7,2,23,1,4,0,0,0,34,8,7,NA
"239","Anthony Caci",620,0,0,0,6,2,0,15,22,10,0,0,0,51,6,14,NA
"240","Anthony Contreras",124,1,0,0,1,1,0,1,1,2,0,0,0,4,5,6,92.9
"241","Anthony Elanga",369,0,0,0,1,7,3,5,1,0,0,0,0,16,6,10,NA
"242","Anthony Gordon",983,6,0,0,17,15,3,19,2,18,0,0,0,53,8,26,NA
"243","Anthony Jung",1142,0,0,0,11,11,1,15,8,17,0,0,0,70,13,15,NA
"244","Anthony Lopes",1016,0,1,0,1,1,0,0,1,0,0,1,0,9,1,0,NA
"245","Anthony Losilla",1329,3,0,0,24,6,2,7,21,27,0,1,0,88,41,42,810
"246","Anthony Lozano",756,2,0,0,21,16,4,3,2,1,0,0,0,23,32,42,574.9
"247","Anthony Martial",201,0,0,0,1,3,1,1,0,0,1,0,0,1,2,1,NA
"248","Anthony Modeste",1036,4,0,0,15,8,7,3,2,4,0,0,0,19,29,37,NA
"249","Anthony Rouault",1342,0,0,0,6,7,1,0,27,19,0,0,0,82,41,23,934.1
"250","Antoine Griezmann",1376,0,0,0,10,15,11,93,12,21,0,0,0,75,12,18,NA
"251","Antoine Mendy",12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,NA
"252","Antoine Semenyo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"253","Anton Stach",1011,3,0,0,14,17,2,27,20,11,0,0,0,85,32,11,NA
"254","Antonee Robinson",1378,4,0,0,11,8,1,58,14,15,0,1,0,110,19,13,NA
"255","Antonín Barák",729,2,0,0,5,5,1,5,2,6,0,0,0,32,7,14,NA
"256","Antonin Bobichon",18,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,NA
"257","Antonino Gallo",886,2,1,1,8,5,1,28,7,10,0,0,0,69,13,6,NA
"258","Antonio Adán",382,0,1,0,1,0,0,0,0,0,0,0,0,8,0,1,NA
"259","Antonio Candreva",1163,2,1,1,2,11,2,100,11,2,0,1,0,56,0,0,NA
"260","Antonio Čolak",284,0,0,0,3,3,4,1,1,0,0,0,0,7,6,14,NA
"261","Antonio Marin",7,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,NA
"262","Antonio Nusa",41,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA
"263","Antonio Raillo",1170,5,0,0,16,10,0,0,15,5,1,0,0,43,19,14,NA
"264","Antonio Rüdiger",1181,1,0,0,3,3,1,2,8,7,0,0,0,80,23,6,NA
"265","Antonio Sanabria",679,2,0,0,10,9,4,0,3,2,0,0,0,23,23,32,NA
"266","Antonio Sánchez",580,4,0,0,14,11,0,13,8,3,1,1,0,44,4,5,NA
"267","António Silva",537,0,0,0,3,1,0,0,11,6,0,1,0,30,8,6,NA
"268","Antonios Papadopoulos",23,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,NA
"269","Antony",520,1,0,0,2,8,0,14,3,2,0,0,0,23,2,5,NA
"270","Anuar",210,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,100
"271","Ao Tanaka",70,0,0,0,0,0,0,2,0,1,0,0,0,3,1,1,50
"272","Arber Zeneli",669,0,0,0,5,8,2,36,1,2,0,0,0,38,2,6,NA
"273","Ardian Ismajli",935,1,0,0,8,6,0,0,13,14,0,0,0,49,25,13,706.4
"274","Arial Mendy",223,0,0,0,1,7,1,10,4,2,0,1,0,14,5,4,NA
"275","Aridane Hernández",144,0,0,0,2,0,0,0,3,1,0,0,0,7,4,1,200
"276","Arijan Ademi",471,2,0,0,3,3,0,0,3,11,0,0,0,21,8,4,NA
"277","Aritz Elustondo",618,3,1,0,12,5,0,3,9,9,0,0,0,26,12,15,NA
"278","Arkadiusz Milik",1251,6,1,1,19,21,7,5,1,5,0,0,0,34,27,49,NA
"279","Arkadiusz Reca",791,1,0,0,9,2,1,27,5,9,0,0,0,45,4,4,NA
"280","Armand Lauriente",1014,3,1,1,8,21,1,57,6,10,1,0,0,53,2,3,NA
"281","Armando Broja",410,0,0,0,9,6,4,0,1,2,1,0,0,18,11,23,NA
"282","Armando Izzo",513,2,0,0,11,11,1,3,13,14,0,0,0,34,15,9,NA
"283","Armel Bella Kotchap",903,1,0,0,4,16,0,3,26,6,0,0,0,75,24,12,NA
"284","Arnau Martinez",811,2,0,0,7,21,2,22,8,10,0,0,0,44,11,11,NA
"285","Arnau Puigmal",241,3,0,0,2,6,0,7,3,1,0,1,0,10,1,2,NA
"286","Arnaud Kalimuendo",605,0,0,0,5,4,4,5,1,2,0,0,0,15,4,25,NA
"287","Arnaud Nordin",807,2,0,0,8,21,1,18,4,2,0,0,0,33,5,18,NA
"288","Arnaud Souquet",342,1,0,0,6,6,1,7,4,14,0,1,0,26,9,9,NA
"289","Arnaut Groeneveld",476,0,0,0,2,7,3,6,0,3,0,0,0,9,0,3,NA
"290","Arne Maier",528,0,0,0,7,4,0,20,2,5,0,0,0,33,3,8,NA
"291","Artem Bondarenko",484,1,0,0,6,3,0,2,7,4,0,0,1,29,1,3,NA
"292","Arthur",608,1,0,0,4,7,2,4,0,4,0,0,0,16,19,20,NA
"293","Arthur Melo",14,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,NA
"294","Arthur Theate",1350,2,0,0,13,5,0,0,11,6,0,1,1,72,24,20,800
"295","Artur Jędrzejczyk",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"296","Ashley Young",729,3,0,0,11,3,0,19,10,12,0,1,0,50,9,4,NA
"297","Asier Illarramendi",153,2,0,0,6,3,0,0,7,0,0,0,0,14,2,0,NA
"298","Asier Villalibre",92,0,0,0,3,1,0,0,0,0,0,0,0,2,2,1,NA
"299","Asiri Haitham",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"300","Asmir Begović",90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
"301","Assan Ceesay",825,1,0,0,14,17,8,4,0,12,0,0,0,20,27,29,NA
"302","Assim Madibo",153,1,0,0,1,1,0,0,2,3,0,0,0,15,1,0,NA
"303","Aster Vranckx",57,0,0,0,1,2,0,2,0,0,0,0,0,5,2,1,NA
"304","Atakan Karazor",486,5,0,0,9,8,0,0,7,10,0,0,0,46,7,6,NA
"305","Atiba Hutchinson",159,0,0,0,2,2,0,0,1,1,0,0,0,10,5,0,300
"306","Augusto Solari",187,0,0,0,7,3,0,2,3,5,0,0,0,11,2,3,NA
"307","Aurélien Tchouaméni",1536,1,0,0,24,20,0,7,32,22,0,0,0,108,26,15,NA
"308","Awer Mabil",189,0,0,0,0,3,0,9,1,0,0,0,0,8,1,7,NA
"309","Axel Camblan",35,0,0,0,0,1,0,1,0,0,0,0,0,2,3,2,NA
"310","Axel Disasi",1440,2,0,0,15,6,0,13,36,15,0,0,0,92,39,10,1192.1
"311","Axel Gueguin",14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,NA
"312","Axel Witsel",1799,2,0,0,16,14,0,2,18,12,0,0,0,99,35,25,NA
"313","Ayase Ueda",45,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100
"314","Ayman Azhil",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"315","Aymen Barkok",83,0,0,0,4,1,0,3,1,1,0,0,0,11,3,2,NA
"316","Aymeric Laporte",733,0,0,0,4,4,0,2,5,1,1,0,0,34,22,7,657.4
"317","Ayoze Pérez",148,0,0,0,3,6,0,4,0,4,0,0,0,12,0,2,NA
"318","Aziz Behich",270,1,0,0,2,2,0,3,2,3,0,0,0,18,2,1,NA
"319","Azor Matusiwa",783,1,0,0,16,11,0,0,20,15,0,0,0,78,13,11,NA
"320","Azzedine Ounahi",1332,1,0,0,11,27,1,18,18,11,0,0,0,80,6,15,NA
"321","Baba Rahman",93,0,0,0,3,1,0,6,1,0,0,0,0,3,0,2,0
"322","Bafodé Diakité",1120,4,0,0,18,3,0,11,6,12,0,0,1,67,19,24,NA
"323","Baila Diallo",34,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,NA
"324","Bailey Wright",17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25
"325","Bamba Dieng",198,1,0,0,8,4,0,1,0,4,0,0,0,6,9,16,NA
"326","Banzouzi Locko",1056,3,1,0,10,9,1,13,20,16,0,0,0,76,12,8,NA
"327","Baptiste Santamaria",551,2,0,0,9,6,0,2,6,11,0,0,0,52,20,9,NA
"328","Bartłomiej Drągowski",1212,1,0,0,0,4,0,0,0,0,0,0,0,16,5,0,NA
"329","Bartol Franjić",215,0,0,0,1,1,0,1,4,2,0,0,0,12,4,3,NA
"330","Bartosz Bereszyński",1359,1,0,0,15,11,0,33,21,18,0,0,0,78,21,12,NA
"331","Bassam Al-Rawi",90,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,100
"332","Batista Mendy",1034,6,1,1,25,13,0,1,8,14,0,1,0,80,9,10,NA
"333","Bebé",60,1,0,0,2,2,0,16,0,0,0,0,0,6,0,1,NA
"334","Ben Chilwell",757,1,0,0,10,12,2,35,8,6,1,0,0,42,14,6,NA
"335","Ben Davies",1785,2,0,0,20,10,1,10,19,14,0,0,0,83,38,32,NA
"336","Ben Godfrey",17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"337","Ben Johnson",488,0,0,0,1,2,0,9,5,6,0,0,0,36,8,5,NA
"338","Ben Mee",1208,1,0,0,5,7,0,2,22,8,0,0,0,72,49,27,843.2
"339","Ben Pearson",214,1,0,0,7,2,0,0,1,2,0,0,0,11,2,3,NA
"340","Ben White",1150,3,0,0,10,12,0,19,9,14,0,0,0,49,12,14,NA
"341","Beñat Turrientes",106,0,0,0,2,1,0,4,0,3,0,0,0,7,0,2,NA
"342","Béni Makouana",105,1,0,0,2,0,0,3,0,0,0,0,0,10,2,6,NA
"343","Benjamin André",1216,4,0,0,26,16,1,3,20,33,1,0,0,110,48,30,814
"344","Benjamin Bourigeaud",1180,0,0,0,13,6,0,87,13,8,0,0,0,73,2,13,NA
"345","Benjamin Henrichs",1053,5,0,0,14,13,0,28,18,23,0,0,0,73,12,6,NA
"346","Benjamin Lecomte",899,1,1,0,1,0,0,0,0,0,0,0,1,16,0,0,NA
"347","Benjamin Leroy",1178,0,0,0,0,2,0,0,0,0,0,0,0,24,1,0,NA
"348","Benjamin Pavard",1442,2,0,0,16,11,4,27,29,27,0,1,0,95,26,22,NA
"349","Benjamin Šeško",330,0,0,0,5,3,2,1,0,1,0,0,0,14,9,16,NA
"350","Benjamin Tahirovic",22,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,NA
"351","Benno Schmitz",1033,0,0,0,13,11,0,48,10,18,0,0,2,58,13,13,NA
"352","Benoît Badiashile",839,3,0,0,10,4,0,0,17,8,0,0,0,67,21,7,NA
"353","Benoît Costil",1350,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,NA
"354","Berat Djimsiti",342,1,0,0,1,1,0,0,6,2,0,0,0,17,2,3,NA
"355","Bernardo",274,0,0,0,0,3,1,0,5,6,0,0,0,15,5,6,NA
"356","Bernardo Espinosa",499,2,0,0,5,5,0,0,3,0,0,1,0,33,25,7,NA
"357","Bernardo Folha",8,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,NA
"358","Bernardo Silva",1526,1,0,0,12,10,1,41,9,13,1,0,0,101,1,4,NA
"359","Bernd Leno",1170,0,0,0,0,1,0,0,0,0,0,0,0,18,7,0,NA
"360","Beto",687,0,0,0,11,11,3,3,1,5,0,0,0,11,36,25,NA
"361","Bevic Moussiti-Oko",487,0,0,0,10,12,1,2,1,1,0,0,0,16,33,31,575
"362","Bilal Brahimi",327,0,0,0,2,1,4,23,2,1,0,0,0,12,1,1,NA
"363","Billy Gilmour",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"364","Bingourou Kamara",408,1,0,0,1,1,0,0,0,0,0,1,0,4,1,0,NA
"365","Birama Touré",1333,1,0,0,18,11,0,1,29,18,0,0,0,94,19,23,NA
"366","Birger Meling",279,1,1,0,7,1,1,5,5,2,0,0,0,17,7,6,NA
"367","Bjorn Meijer",392,0,0,0,4,1,0,4,7,8,0,0,0,24,6,6,NA
"368","Blanco",158,0,0,0,2,1,0,0,1,4,0,0,0,7,3,0,NA
"369","Bobby Clark",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"370","Bobby Reid",1211,6,0,0,19,8,1,29,9,15,1,1,0,76,6,19,NA
"371","Bohdan Mykhaylychenko",360,1,0,0,5,2,0,5,7,2,0,0,0,16,4,1,300
"372","Bonke Innocent",613,2,0,0,14,1,0,0,9,6,0,0,0,33,4,10,NA
"373","Borja Iglesias",957,0,1,0,24,28,9,0,0,4,0,0,0,17,9,15,566.6
"374","Borja Mayoral",1105,2,0,0,10,22,4,9,0,1,1,0,0,26,12,23,NA
"375","Borna Barišić",465,1,0,0,2,2,1,27,3,3,0,1,0,21,2,4,NA
"376","Borna Sosa",1147,4,0,0,8,8,0,125,9,12,0,0,0,68,12,9,NA
"377","Boualem Khoukhi",270,0,0,0,1,5,0,0,3,2,0,0,0,16,6,7,145
"378","Boubacar Kamara",669,2,0,0,17,8,0,0,4,13,0,0,0,55,10,9,NA
"379","Boubacar Traoré",384,2,0,0,10,2,0,1,7,4,0,0,0,25,7,8,386.7
"380","Boubakary Soumaré",668,3,0,0,11,8,0,1,12,21,0,0,0,51,8,8,NA
"381","Boulaye Dia",1203,2,0,0,11,15,8,6,2,2,0,0,0,32,14,19,NA
"382","Bradley Barcola",81,0,0,0,2,0,0,1,1,2,0,0,0,2,1,2,NA
"383","Brahim Díaz",810,3,0,0,15,22,1,13,1,5,0,0,0,38,2,7,NA
"384","Braian Cufré",194,0,0,0,3,2,2,1,1,2,0,0,0,12,0,1,NA
"385","Brais Méndez",1121,4,0,0,32,21,0,56,5,18,0,0,0,59,9,12,NA
"386","Bram Nuytinck",385,1,0,0,4,2,0,0,5,4,0,0,0,19,7,5,NA
"387","Branco van den Boomen",1327,2,0,0,15,5,1,117,5,14,0,0,0,83,3,9,NA
"388","Brandon Aguilera",45,0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,NA
"389","Brandon Baiye",50,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,NA
"390","Brandon Mechele",540,0,0,0,0,1,0,0,7,5,1,0,0,28,11,12,NA
"391","Brandon Soppy",613,3,0,0,16,17,1,13,3,4,1,1,0,49,3,2,NA
"392","Brayann Pereira",180,0,0,0,1,4,0,9,2,5,0,0,0,9,3,0,200
"393","Brecht Dejaegere",767,2,0,0,23,19,1,5,6,9,0,1,0,38,6,8,NA
"394","Breel Embolo",1237,2,0,0,24,38,7,1,5,5,2,1,0,34,18,29,696.6
"395","Brendan Chardonnet",1215,4,0,0,20,13,0,2,30,14,0,0,1,61,39,18,NA
"396","Brenden Aaronson",1273,2,0,0,9,30,3,45,2,8,0,0,0,73,6,17,NA
"397","Brennan Johnson",1278,2,0,0,14,6,9,23,2,7,0,0,0,37,10,29,NA
"398","Brian Brobbey",116,0,0,0,1,3,0,1,0,0,1,0,0,0,2,9,NA
"399","Brian Ocampo",560,1,0,0,19,13,1,12,1,7,0,0,0,44,5,9,NA
"400","Brian Oliván",1209,3,0,0,15,11,1,67,14,18,0,0,0,87,10,19,NA
"401","Brice Samba",1350,1,0,0,0,2,0,0,0,0,0,0,0,18,3,1,NA
"402","Bruno Amione",446,4,0,0,8,2,0,3,8,2,0,1,0,27,21,5,506.7
"403","Bruno Fernandes",1349,6,0,0,20,24,9,46,12,16,0,0,0,95,8,24,391.7
"404","Bruno Guimarães",1025,1,0,0,17,34,0,6,15,14,0,0,0,108,5,4,NA
"405","Bruno Petković",548,1,0,0,10,21,0,2,2,5,0,0,0,17,26,35,351.8
"406","Bruno Xavier Almeida Costa",73,0,0,0,1,1,0,3,1,2,0,0,0,4,0,0,NA
"407","Bryan",47,0,0,0,0,3,0,3,2,1,1,0,0,7,0,1,NA
"408","Bryan Cristante",1238,4,0,0,19,9,1,6,6,22,0,0,0,83,24,18,NA
"409","Bryan Mbeumo",1290,3,0,0,9,12,3,58,3,4,0,0,0,55,14,24,NA
"410","Bryan Oviedo",171,0,0,0,2,1,1,1,2,5,0,0,0,9,2,0,NA
"411","Bryan Ruiz",30,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,50
"412","Bukayo Saka",1317,3,0,0,21,21,5,58,10,11,0,0,0,55,5,15,NA
"413","Cafú",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"414","Çağlar Söyüncü",71,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
"415","Caio Henrique Oliveira Silva",1085,2,0,0,6,10,0,56,11,14,0,0,1,72,1,4,NA
"416","Cala",137,0,0,0,1,5,0,0,1,1,0,0,0,3,3,4,NA
"417","Caleb Okoli",845,3,0,0,13,7,0,1,26,17,0,0,0,59,40,23,NA
"418","Callum Hudson-Odoi",938,0,0,0,2,24,2,21,5,3,0,0,0,41,1,3,NA
"419","Callum McGregor",216,0,0,0,1,1,0,1,5,1,0,0,0,19,1,0,NA
"420","Callum Wilson",835,1,0,0,11,11,10,4,1,1,0,0,0,16,12,22,NA
"421","Calum Chambers",101,0,0,0,3,0,0,0,3,2,0,0,0,8,1,1,NA
"422","Calvin Bassey",540,1,0,0,3,8,0,1,7,9,0,0,0,39,6,8,NA
"423","Calvin Ramsay",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"424","Calvin Stengs",212,0,0,0,5,6,0,3,0,2,0,0,0,13,1,1,NA
"425","Cameron Archer",49,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,NA
"426","Cameron Carter-Vickers",450,0,0,0,1,2,0,0,4,2,0,0,0,20,10,7,NA
"427","Carl Starfelt",90,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,NA
"428","Carles Aleñá",1022,6,0,0,24,28,1,13,2,8,0,0,0,55,7,13,NA
"429","Carles Pérez",599,1,0,0,11,10,3,6,1,8,0,0,0,22,2,18,NA
"430","Carlos",1129,1,0,0,14,10,2,15,7,7,0,0,0,55,18,7,NA
"431","Carlos Baleba",66,1,1,0,8,2,0,0,0,5,0,0,0,10,0,4,NA
"432","Carlos Clerc",862,1,0,0,8,7,1,26,7,15,0,0,0,37,5,4,NA
"433","Carlos Dominguez",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"434","Carlos Fernández",232,1,0,0,7,6,5,0,1,2,0,0,0,16,8,6,NA
"435","Carlos Gruezo",1006,5,0,0,12,9,0,2,10,14,0,1,0,73,9,14,NA
"436","Carlos Martínez",45,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,100
"437","Carlos Soler",660,0,0,0,9,16,0,25,3,4,1,0,0,32,3,3,NA
"438","Carlos Vinícius",327,1,0,0,6,6,2,2,0,0,0,0,0,7,4,17,NA
"439","Carmona",892,6,0,0,15,8,0,20,9,15,0,0,0,42,6,11,NA
"440","Carney Chukwuemeka",46,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,NA
"441","Casals",12,0,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA
"442","Casemiro",900,2,0,0,24,9,0,9,18,18,0,0,0,71,25,13,NA
"443","Casper Nielsen",529,2,0,0,8,5,0,16,5,12,0,1,0,27,5,9,NA
"444","Castello Lukeba",1260,2,0,0,14,9,0,1,26,6,0,0,0,95,16,18,NA
"445","Catena",1260,5,0,0,12,8,1,1,7,2,0,0,0,70,27,11,NA
"446","Cédric Avinel",697,1,1,0,5,0,0,0,9,3,0,2,0,30,13,4,NA
"447","Cédric Bakambu",59,0,0,0,2,1,0,1,0,1,0,0,0,5,4,3,166.7
"448","Cédric Brunner",1017,1,0,0,14,16,0,24,25,11,0,0,0,55,15,25,491.6
"449","Cédric Hountondji",1337,2,0,0,14,3,0,0,20,10,0,1,1,76,17,11,NA
"450","Cédric Soares",29,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,NA
"451","Celso Borges",159,1,0,0,2,0,0,2,3,0,0,0,0,9,5,0,200
"452","Cengiz Ünder",727,1,0,0,7,8,2,37,8,9,0,0,0,36,6,4,NA
"453","Cenk Özkacar",239,0,0,0,2,3,0,0,1,3,0,0,0,25,13,11,178.9
"454","César Azpilicueta",1022,2,0,0,17,7,0,17,16,15,0,0,0,52,19,16,NA
"455","César de la Hoz",583,4,0,0,13,3,0,1,5,7,0,1,0,27,6,7,NA
"456","César Montes",270,0,0,0,4,0,0,0,2,3,0,0,0,13,7,5,175
"457","Chadi Riad",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"458","Chancel Mbemba",1711,0,1,0,10,10,0,21,23,21,1,0,0,97,33,15,NA
"459","Charalambos Lykogiannis",589,2,0,0,7,4,1,36,11,5,0,0,0,21,10,11,500
"460","Charles Aránguiz",708,1,0,0,10,10,0,12,9,9,0,0,0,46,6,11,NA
"461","Charles De Ketelaere",814,3,0,0,10,10,0,10,5,4,0,0,0,46,11,19,NA
"462","Charles Pickel",1008,3,0,0,13,7,3,3,7,7,0,0,0,68,15,23,NA
"463","Charly Rodríguez",34,0,0,0,1,1,0,1,0,0,0,0,0,6,0,1,NA
"464","Che Adams",1066,0,0,0,18,12,5,7,3,9,0,0,0,24,32,62,NA
"465","Check Keita",121,1,0,0,3,0,0,0,0,2,0,0,0,9,2,5,33.3
"466","Cheick Doucouré",963,5,0,0,12,5,0,1,20,19,0,0,0,65,8,7,NA
"467","Cheikhou Kouyaté",776,2,0,0,16,8,0,2,7,16,0,0,0,50,15,7,NA
"468","Chem Campbell",74,0,0,0,0,1,0,4,1,1,0,0,0,4,2,1,NA
"469","Chidera Ejuke",790,0,0,0,1,8,1,11,2,3,0,0,0,58,4,2,NA
"470","Chikwubuike Adamu",204,1,0,0,6,1,4,5,1,8,0,0,0,13,4,10,NA
"471","Chimuanya Ugochukwu",465,0,1,0,11,3,0,1,6,8,0,0,0,28,9,1,NA
"472","Chiquinho",83,0,0,0,0,4,1,2,2,4,0,0,0,8,1,1,NA
"473","Cho Guesung",107,1,0,0,4,3,0,1,0,0,0,0,0,2,9,10,92.9
"474","Chris Führich",873,2,0,0,5,6,1,29,4,10,0,0,0,45,1,3,NA
"475","Chris Mepham",1521,6,0,0,19,7,1,0,12,15,0,0,1,56,32,20,NA
"476","Chris Richards",47,0,0,0,0,0,1,0,2,0,0,0,0,2,3,0,NA
"477","Chris Smalling",1323,3,0,0,8,9,0,0,24,5,0,0,0,64,27,13,1106.8
"478","Chris Wood",272,0,0,0,4,3,0,0,0,3,0,0,0,13,15,15,NA
"479","Chrislain Matsima",36,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,NA
"480","Christian Bassogog",24,1,0,0,0,1,0,2,1,0,0,0,0,2,0,0,NA
"481","Christian Eriksen",1313,1,0,0,7,4,2,74,4,7,0,0,0,113,5,12,NA
"482","Christian Groß",903,1,0,0,26,8,0,3,12,13,0,0,0,61,10,11,NA
"483","Christian Günter",1315,3,0,0,13,6,3,100,7,11,0,1,0,60,4,18,NA
"484","Christian Gytkjær",343,0,0,0,8,4,8,1,0,2,0,0,0,7,4,11,NA
"485","Christian Kouamé",1005,2,0,0,21,34,2,26,10,9,1,0,0,58,33,27,701.7
"486","Christian Nørgaard",344,0,0,0,7,2,0,2,8,3,0,0,0,36,3,2,NA
"487","Christian Pulisic",751,1,0,0,11,20,0,28,4,7,0,0,0,29,9,17,NA
"488","Christian Sørensen",102,1,0,0,2,2,0,9,2,1,0,0,0,2,0,1,NA
"489","Christoph Baumgartner",1150,3,0,0,30,24,2,9,11,8,2,0,0,62,18,29,NA
"490","Christoph Kramer",1183,3,0,0,19,10,4,10,4,17,0,0,0,55,11,11,NA
"491","Christophe Hérelle",337,1,0,0,3,6,0,1,7,2,0,1,0,20,6,2,NA
"492","Christopher Antwi-Adjei",453,0,0,0,3,7,6,13,1,4,0,0,0,27,6,14,NA
"493","Christopher Jullien",900,1,0,0,14,2,0,0,12,10,0,0,0,47,29,17,612.4
"494","Christopher Lenz",629,0,0,0,9,6,1,39,10,11,0,0,0,42,6,3,NA
