"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"28","Abolfazl Jalali",19,19,29,65.5,295,38,9,9,100,10,14,71.4,0,4,0,0,0,0,0,0,0,0,2
"29","Achraf Dari",721,336,412,807.5,7570,2508,71,87,749.3,193,214,913.2,67,101,703.7,0,0,0,1,16,0,0,21
"30","Achraf Hakimi",1678,897,1005,1939,11530,3143,562,613,NA,257,277,1918.1,14,21,NA,3,2.5,3.3,23,24,28,9,60
"31","Adam Armstrong",869,163,219,1064.5,2520,461,86,102,1204.8,56,69,1139.2,11,18,NA,1,0.8,0.5,10,9,8,2,14
"32","Adam Buksa",63,8,16,206.7,130,15,3,6,250,4,6,300,0,1,NA,0,0,0,0,1,0,0,0
"33","Adam Forshaw",50,18,22,266.7,270,118,13,13,300,2,2,NA,2,6,NA,0,0.4,0.2,1,2,0,0,1
"34","Adam Hložek",851,185,241,1486.1,2741,831,116,142,1524.3,46,54,NA,16,27,NA,3,2.3,1,19,22,5,0,25
"35","Adam Kronus",3,2,4,50,35,18,1,2,50,1,1,100,0,1,0,0,0,0,0,0,0,0,0
"36","Adam Lallana",489,178,212,915,2084,456,111,123,997.8,42,50,NA,4,6,NA,1,0.7,1,11,19,6,1,13
"37","Adam Marušić",1301,715,825,1301,10696,4232,410,439,1407.7,239,280,1278.7,45,70,909.6,1,0.3,0.3,3,49,3,1,32
"38","Adam Masina",304,112,148,313,2453,1159,35,42,341.6,54,68,322.7,21,33,250,0,0.1,0.1,1,8,2,2,7
"39","Adam Ounas",678,239,339,836.1,4411,1450,112,130,972.4,85,130,NA,36,56,785.4,1,1.9,1.8,18,24,21,1,38
"40","Adam Smith",1305,475,600,1155.6,8107,3569,225,246,1357.8,199,238,1186.1,43,92,723,1,0.4,0.7,6,38,15,9,31
"41","Adam Vlkanova",458,99,135,438.5,1671,409,49,56,532.9,41,55,474.9,6,14,200,1,0.6,0.5,7,9,5,2,8
"42","Adam Webster",1170,770,894,1095.3,14548,5331,292,318,1161.9,391,440,1129.2,80,117,842.7,0,0,0.1,2,73,4,1,45
"43","Adama Soumaoro",782,315,347,879.7,5654,1900,119,127,932.1,171,181,NA,20,27,700,0,0,0,1,8,1,0,13
"44","Adama Traoré",622,136,212,833,2064,472,81,113,884.2,37,55,NA,11,22,NA,0,1,1,11,8,10,7,16
"45","Ademola Lookman",858,215,280,1127.4,3131,885,121,145,1242.5,60,81,1061.8,17,26,NA,1,3,2.6,18,11,15,3,25
"46","Adil Aouchiche",43,14,19,225,222,91,8,8,300,5,7,166.7,1,3,NA,0,0,0,0,3,1,0,3
"47","Adil Rami",539,189,223,578.3,3903,1928,62,67,NA,92,104,607.2,31,46,450,0,0,0,1,13,1,1,8
"48","Adnan Januzaj",99,30,43,419.1,477,91,19,22,461.8,9,11,NA,2,5,NA,0,0,0,1,1,2,0,4
"49","Ado Onaiwu",288,79,104,936.8,964,187,50,63,994.5,19,25,905,2,4,NA,1,0.2,0,3,5,2,0,4
"50","Adri Embarba",458,108,171,647.4,2155,556,43,55,783.6,43,62,729.6,19,36,NA,3,1.7,0.7,11,8,3,1,14
"51","Adrian Grbić",25,1,2,NA,10,0,1,2,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"52","Adrien Hunou",1088,255,346,1023.6,3823,1127,129,164,1096.4,101,128,1114.5,9,19,NA,1,1.6,0.2,9,18,7,0,25
"53","Adrien Rabiot",1586,644,758,1608.1,10912,2805,318,352,1711.4,249,292,1632.4,62,76,1533.6,3,2,1.1,16,68,14,2,54
"54","Adrien Tameze",1061,260,354,1006.5,4571,1521,113,145,1091.1,117,142,NA,23,43,696.7,0,0.3,0.6,11,34,7,0,31
"55","Adrien Thomasson",757,356,433,1077.7,5692,1326,167,197,1126.8,140,164,1100.3,26,37,NA,2,1.3,1.1,14,22,9,1,21
"56","Adrien Truffert",1115,603,760,1184,9468,2950,297,338,1327.4,267,346,1143.8,25,46,NA,4,0.5,0.6,8,46,11,5,47
"57","Agustín Álvarez Martínez",170,34,41,NA,530,91,21,25,NA,6,8,NA,4,5,NA,1,0.3,0.1,1,2,1,0,3
"58","Agustín Marchesín",1260,322,453,1004.9,9037,6371,62,62,1400,151,153,1372.3,108,235,685.1,0,0,0,0,5,0,0,1
"59","Agustín Rogel",675,242,312,604.1,5112,2044,54,67,669.2,153,178,673.7,32,59,436.7,0,0,0,0,6,0,0,11
"60","Ahmad Nourollahi",223,35,54,194.4,519,151,16,21,232.4,13,21,177.5,2,6,NA,0,0,0,0,3,0,0,3
"61","Ahmed Alaaeldin",6,0,2,0,0,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0
"62","Aihen Muñoz",666,302,368,695.1,5068,1723,145,160,695.3,136,159,782,20,38,441.3,0,0.1,0.2,4,9,8,5,11
"63","Aimar Oroz",774,229,291,905.5,3305,792,139,161,1004.8,66,84,931.2,13,16,NA,1,0.3,0.4,9,18,11,0,19
"64","Aimen Dahmen",270,48,77,179.3,1544,1175,9,9,300,18,18,300,21,50,118.9,0,0,0,0,0,0,0,0
"65","Ainsley Maitland-Niles",412,175,207,591.4,2867,875,88,101,586.3,66,75,632.6,17,24,540.5,0,0.2,0.2,4,21,3,2,15
"66","Aïssa Laïdouni",243,99,123,239.9,1677,476,50,60,248.8,42,48,264.2,7,12,150,1,0.6,0.2,4,16,0,0,8
"67","Aïssa Mandi",261,158,176,645.3,2867,1022,61,66,666.7,83,88,644.7,11,15,NA,0,0,0,1,7,0,0,5
"68","Aitor Fernández",360,93,136,272.3,3511,2970,6,6,400,29,29,400,58,100,229,0,0,0,0,5,0,0,0
"69","Aitor Paredes",23,14,15,285.7,327,99,5,5,NA,6,6,NA,3,4,NA,0,0,0,0,0,0,0,2
"70","Aitor Ruibal",563,223,288,1014.1,3456,1129,126,141,1192.3,67,90,926.1,20,35,NA,0,1,0.4,7,21,4,2,14
"71","Ajdin Hrustic",250,82,103,531.3,1138,348,45,48,578.6,26,35,NA,4,7,NA,0,0.7,0.5,3,1,5,1,7
"72","Akim Zedadka",354,185,222,697.6,3038,815,79,89,NA,85,97,NA,10,21,NA,0,0.5,0.8,5,8,7,1,11
"73","Akram Afif",270,139,165,254.2,2502,645,45,50,269.3,60,66,276.7,21,28,218,0,0.3,0.3,5,10,4,1,7
"74","Alan Franco",46,10,11,180,114,59,8,8,200,2,2,200,0,0,NA,0,0,0,0,0,0,0,1
"75","Alan Virginius",66,18,24,360.7,279,44,8,10,400,8,9,NA,1,2,NA,0,0,0.1,1,3,1,0,2
"76","Alassane Pléa",825,248,365,741.4,4039,1709,131,156,926.3,74,114,701.7,27,54,584.1,7,2.2,3,20,45,20,4,44
"77","Alban Lafont",1259,318,461,964.6,9597,7247,44,45,NA,150,152,1380.8,124,263,660,0,0.1,0,1,6,1,0,1
"78","Albert Sambi Lokonga",198,132,140,583.1,2321,539,59,62,586.7,60,63,NA,11,12,NA,0,0,0,1,17,1,0,9
"79","Alberto Del Moral",5,0,1,0,0,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0
"80","Alberto Grassi",324,129,161,594.5,1884,624,69,80,NA,41,50,NA,8,18,NA,0,0.1,0,3,9,2,0,11
"81","Alberto Moreno",368,168,203,485.6,2622,579,89,98,513.6,66,76,533.1,7,15,NA,0,0.2,0.1,5,4,5,1,5
"82","Alberto Perea",45,10,12,83.3,114,30,6,7,85.7,3,3,100,0,1,0,0,0,0,0,0,0,0,1
"83","Albin Ekdal",495,140,199,747.3,2014,807,80,103,810.8,48,66,740,4,11,NA,1,0.5,0.1,3,16,6,0,19
"84","Aleix García",1245,764,902,1170.4,13810,4121,359,380,1310.8,265,290,1267.1,107,171,834.1,3,3.3,3.7,36,79,11,6,47
"85","Aleix Vidal",446,101,140,625.9,1679,376,52,64,713.9,40,53,643.1,8,11,NA,0,0.7,0.5,4,10,3,1,8
"86","Alejandro Alfaro",15,1,1,100,3,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"87","Alejandro Balde",1175,791,873,1614.5,11723,2183,459,489,1677.8,280,297,1702.7,40,55,NA,3,1.7,2.2,9,50,11,6,20
"88","Alejandro Garnacho",84,25,31,NA,307,36,18,21,NA,7,7,NA,0,0,NA,0,0,0,0,1,0,0,1
"89","Alejandro Pozo Pozo",580,252,350,672.1,4285,1734,123,138,905.9,94,115,771.5,27,63,322.5,1,1.1,0.4,7,19,7,6,21
"90","Alejandro Revuelta Montero",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"91","Aleksa Terzić",262,199,241,598.5,3767,953,72,78,NA,101,120,620.9,21,31,390.1,0,0.3,0.3,6,10,10,8,13
"92","Aleksandar Mitrović",1189,172,284,835.1,2767,579,95,144,862.5,53,82,885.7,18,28,NA,0,1.4,0.6,12,13,6,0,19
"93","Aleksandr Golovin",963,294,413,999.3,4945,1703,140,181,1102.1,104,127,1146.4,34,72,758.1,3,2.4,2.3,23,32,23,2,44
"94","Aleksei Miranchuk",676,190,228,740.3,2972,675,99,111,800.4,60,73,684.7,18,27,NA,1,1.2,0.8,16,16,8,1,20
"95","Aleš Čermák",32,24,30,240.3,448,207,11,13,258.3,9,10,275,4,5,250,0,0,0,1,5,0,0,5
"96","Alessandro Bastoni",1124,718,831,1346.2,14461,5193,250,273,1468.3,359,385,1456.3,101,150,1024.5,3,2,1.9,12,67,16,7,46
"97","Alessandro Buongiorno",906,361,450,939.2,6260,2189,137,160,1019.1,204,237,994.4,13,35,NA,0,0.3,0.1,2,25,1,1,21
"98","Alessandro Cortinovis",6,5,6,83.3,77,35,3,3,100,2,2,100,0,1,0,0,0,0,0,0,2,1,1
"99","Alessandro Florenzi",97,62,79,146.7,1115,324,26,28,170.8,32,36,187.9,4,14,33.3,0,0,0.1,1,4,1,0,4
"100","Alessandro Tuia",180,53,72,145.2,1198,410,11,15,140,31,35,174.6,10,21,95.5,0,0,0,0,6,0,0,5
"101","Alessandro Zanoli",24,15,19,248.5,241,52,6,7,280,9,10,275,0,0,NA,0,0.1,0,1,0,2,1,1
"102","Alessio Romagnoli",1194,615,687,1220.3,10822,4043,273,293,1269.2,257,280,1264,66,89,953.8,0,0.1,0.1,1,30,3,0,22
"103","Alessio Zerbin",111,35,51,NA,403,86,22,25,NA,7,12,NA,1,1,NA,0,0.2,0,1,3,2,0,3
"104","Alex Baena",630,156,207,954.1,2511,633,74,88,NA,60,72,1093.5,13,20,NA,0,1.5,0.5,11,18,8,0,22
"105","Álex Berenguer",1026,283,417,886.2,3975,1036,184,212,1152,59,108,688.5,25,54,595.9,1,2.5,2.4,24,7,15,5,23
"106","Álex Collado",514,167,206,630.8,2362,466,103,110,742.7,44,53,679.4,11,21,445,1,0.7,0.7,11,14,4,1,8
"107","Álex Fernández",699,253,299,1012.2,4072,1135,136,145,1138.3,83,97,977.3,26,46,679,0,0.6,0.5,6,23,0,0,11
"108","Alex Ferrari",868,384,456,991.5,7605,2387,114,126,1106.8,220,242,1065.8,41,67,765.6,0,0.3,0.5,3,17,1,0,16
"109","Álex Grimaldo",540,318,381,497.5,4790,1334,182,196,546.7,104,125,506.5,23,33,379.2,2,1,0.6,8,28,8,1,24
"110","Alex Iwobi",1332,504,632,1194.3,8812,2580,225,259,1305.7,207,249,1246.3,57,86,897.9,5,2.6,1.7,27,63,17,4,49
"111","Alex Král",904,214,311,806.2,3806,1216,85,118,847.8,98,122,971.5,21,41,NA,0,0.2,0.1,3,24,1,0,20
"112","Alex Meret",1890,518,606,1811.8,11505,6974,138,138,2100,260,265,2063.6,116,198,1225.2,0,0,0,0,0,0,0,0
"113","Álex Moreno",1170,476,620,987.3,6967,3117,274,305,1155.4,161,213,960.8,26,59,517.9,3,1.5,1.3,9,32,10,3,31
"114","Alex Oxlade-Chamberlain",32,5,7,100,107,34,2,3,NA,0,0,NA,2,3,NA,0,0.1,0,1,0,0,0,1
"115","Álex Remiro",1260,358,483,1038.4,10970,8403,58,59,NA,168,171,1375.8,132,247,743,0,0,0,0,10,0,0,1
"116","Alex Sandro",1194,787,905,1680.6,13952,4246,354,377,NA,339,378,1709.3,81,118,1378.8,1,0.5,0.5,7,65,6,3,53
"117","Alex Sola",275,120,151,369.9,2134,461,45,52,424.7,60,69,406.1,10,22,241.7,0,0,0,1,4,0,0,1
"118","Alex Telles",1149,501,674,1419.6,8040,2724,262,293,1737.7,188,243,1454.2,37,102,NA,3,1.2,1.3,18,29,15,12,27
"119","Alexander Bah",548,347,437,601.3,6229,2408,147,169,674.6,145,176,676.3,42,68,385.5,2,1.2,0.9,11,34,11,3,29
"120","Alexander Djiku",1276,649,794,1224.1,13856,5928,183,208,NA,334,389,NA,119,175,993.4,1,0.4,0.6,4,81,10,2,75
"121","Alexander Hack",988,369,500,927.6,7958,4137,115,135,1120.4,170,209,970.5,78,131,743.3,0,0,0.6,3,29,3,0,40
"122","Alexander Isak",394,40,65,307.7,547,138,24,36,327,12,17,371.7,2,4,NA,0,0.4,0.1,5,2,2,0,3
"123","Alexander lowry",8,2,3,66.7,27,0,1,2,50,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"124","Alexander Meyer",675,305,351,697.1,7505,4608,63,64,794.1,159,159,800,83,125,521,0,0,0,0,0,0,0,0
"125","Alexander Mighten",8,1,1,100,11,0,1,1,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"126","Alexander Nübel",1350,333,461,1098.4,10388,7806,47,48,NA,130,134,1442.6,156,279,888.7,0,0,0,1,2,0,0,0
"127","Alexander Schwolow",1350,347,545,947.7,12172,10008,51,52,NA,135,137,1488.3,159,351,678.6,0,0.1,0,1,22,1,0,0
"128","Alexander Sørloth",826,114,164,785.9,1428,172,68,87,872.9,34,50,NA,2,5,NA,1,0.8,0.5,12,3,3,0,6
"129","Alexandre Coeff",586,287,353,574.1,6143,2229,72,88,534.7,165,183,633.6,44,68,466.1,1,0.3,0,1,19,1,0,17
"130","Alexandre Lacazette",1297,283,413,1024.7,4146,1176,145,190,1127.8,96,132,1047.6,17,37,NA,3,3.1,2.4,25,30,17,1,36
"131","Alexandro Bernabei",11,4,4,100,70,6,1,1,100,3,3,100,0,0,NA,0,0,0,1,0,0,0,0
"132","Alexis Beka Beka",276,141,174,596.1,2432,630,73,88,620.4,48,57,NA,17,24,NA,0,0,0,1,11,1,0,12
"133","Alexis Blin",690,252,309,1061.4,4309,1224,105,125,1131.3,114,134,1128.3,19,27,NA,0,0,0.2,2,28,5,1,15
"134","Alexis Claude-Maurice",283,93,119,878,1176,257,59,67,1006.4,26,37,811.3,2,5,NA,2,0.7,0.5,6,9,1,0,6
"135","Alexis Flips",642,236,359,738.2,4381,2072,105,127,908.1,93,136,762.9,34,74,NA,2,2.5,3,16,21,13,7,31
"136","Alexis Mac Allister",1324,758,861,1308.4,12749,3020,363,400,1335.7,325,345,1399.6,55,76,1037.8,0,0.8,1,13,68,8,1,53
"137","Alexis Saelemaekers",403,126,176,613.2,1850,494,72,94,634.3,44,58,644.5,7,14,NA,1,0.4,0.5,6,5,7,4,13
"138","Alexis Sánchez",1272,370,467,1349.7,5542,1203,202,241,1432.7,102,134,1290.5,32,43,NA,0,3,2.6,25,39,27,1,39
"139","Alexis Vega",148,29,43,115.8,453,116,18,20,168.8,9,15,97.7,2,5,50,0,0,0,0,1,0,0,2
"140","Alexsandro Ribeiro",393,250,280,527,4384,1890,105,113,539.2,116,123,573.8,20,30,441.6,0,0,0,0,8,0,0,11
"141","Alfonso Espino",1142,342,535,896.6,5516,2537,174,213,1139.3,128,184,989.6,27,87,482.7,3,0.7,0.7,9,24,8,4,27
"142","Alfonso Pedraza",805,285,377,757.5,4342,1131,150,167,906.5,117,149,800.9,9,24,343.3,1,0.6,0.2,6,10,8,2,14
"143","Alfred Duncan",285,125,161,714.8,2364,899,43,49,NA,59,69,789.5,17,30,NA,0,0,0.2,2,18,5,2,16
"144","Alfredo Morelos",256,41,63,352.3,620,120,19,27,402.8,15,19,388.4,3,5,NA,0,0.1,0,1,1,0,0,2
"145","Ali Abdi",188,72,116,NA,1451,630,25,31,NA,38,57,NA,9,22,NA,0,0,0,1,4,2,0,6
"146","Ali Al-Bulaihi",180,67,83,147.3,1202,326,26,30,168,34,39,171.2,6,12,100,0,0,0,0,2,0,0,4
"147","Ali Assadalla",27,21,23,91.3,242,39,14,14,100,5,7,71.4,0,0,NA,0,0,0,0,0,0,0,0
"148","Ali Gholizadeh",199,46,72,191.2,637,262,30,39,233.1,13,20,186.7,2,9,83.3,1,0.2,0.7,2,4,4,1,4
"149","Ali Karimi",99,34,45,191.3,593,150,18,21,266.7,12,15,NA,4,7,133.3,0,0,0,0,4,1,0,3
"150","Ali Maâloul",90,40,63,63.5,743,421,20,22,90.9,13,18,72.2,6,19,31.6,0,0,0.1,0,5,2,1,4
"151","Ali Mohamed",356,190,224,415.5,3025,788,100,115,424.2,75,83,436.3,11,13,452.4,0,0,0,1,20,2,0,22
"152","Alidu Seidu",1278,595,678,1304.1,9888,2752,273,289,1418,257,286,1304.9,44,70,939.5,0,0.3,0.5,5,23,11,7,27
"153","Alireza Beiranvand",109,20,31,71.4,598,492,2,2,NA,13,13,NA,5,16,38.5,0,0,0,0,1,0,0,1
"154","Alireza Jahanbakhsh",59,11,17,130.6,160,54,4,5,166.7,6,9,130,0,0,NA,0,0,0,0,1,1,0,2
"155","Alisson",1980,663,778,1878.3,15757,10405,173,173,2200,312,322,2117.3,174,274,1432.6,1,0.3,0,1,14,0,0,1
"156","Alistair Johnston",180,91,119,152.6,1572,787,45,52,174.2,32,41,156.9,11,20,104.4,0,0.2,0.1,3,6,3,1,8
"157","Allan McGregor",450,121,196,316,3431,2479,18,20,460,63,63,500,40,111,205.7,0,0,0,0,1,0,0,0
"158","Allan Saint-Maximin",378,98,147,501,1639,517,50,67,NA,40,58,552.2,8,11,NA,3,1.2,1,8,7,13,2,21
"159","Almamy Touré",163,80,101,159.1,1377,381,29,34,NA,43,52,168.5,5,9,NA,0,0,0,0,7,0,0,1
"160","Almoez Ali",224,33,45,220.5,493,32,17,21,228.9,10,15,250,3,3,NA,0,0,0,0,0,0,0,0
"161","Alphonse Areola",107,29,42,135.7,852,696,9,9,200,10,10,200,10,22,83.3,0,0,0,0,0,0,0,0
"162","Alphonso Davies",1542,929,1058,1660.2,14339,3673,503,546,1751.6,360,395,1702.7,46,71,NA,2,2.6,2.3,34,61,20,0,59
"163","Álvaro Aguado",747,357,426,1104,7258,1991,139,151,1197.7,139,164,1130.3,69,90,1064,2,0.7,1,15,41,4,1,43
"164","Álvaro Fernández",360,84,123,276.7,3450,2986,3,3,NA,29,29,400,52,91,231.7,0,0.2,0,1,4,0,0,0
"165","Álvaro García",1095,225,350,849.2,3408,918,133,161,1082.2,72,119,766.2,13,38,418.3,1,1.7,1.9,13,8,15,10,15
"166","Álvaro Giménez",17,2,2,100,21,6,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0
"167","Álvaro Morata",1210,159,255,1331,2401,389,91,130,1554.4,41,70,1236.3,18,25,NA,2,0.7,0.5,12,4,7,3,9
"168","Álvaro Negredo",410,58,100,600.8,928,162,33,50,638.3,14,25,NA,7,13,NA,1,0.8,1,4,3,1,0,4
"169","Alvaro Sanz",14,10,12,83.3,117,23,6,6,100,1,2,50,1,1,100,0,0,0,0,0,0,0,0
"170","Álvaro Zamora",30,5,5,100,55,22,4,4,100,1,1,100,0,0,NA,0,0,0,0,1,0,0,1
"171","Amadou Haidara",736,385,454,1547.2,6307,2059,182,203,NA,160,180,1647.1,31,49,NA,1,1.3,0.7,6,42,8,0,42
"172","Amadou Onana",1139,366,448,1291.3,6032,1376,195,225,1391,138,163,1294.5,27,43,NA,1,0.9,0.7,7,34,7,0,24
"173","Amar Dedić",540,183,283,383.7,2643,1448,108,127,502.9,54,96,347.4,14,39,167.9,0,0.4,0.5,7,12,5,2,8
"174","Amath",243,43,58,525.5,463,139,33,37,645.8,6,14,NA,0,0,NA,0,0.3,0.2,1,3,2,1,2
"175","Amine Adli",476,136,177,901.4,1838,405,77,100,890.2,45,48,NA,5,10,NA,1,1,0.7,6,10,6,1,12
"176","Amine Gouiri",1014,227,290,1005.9,3241,491,135,163,1067.5,60,76,NA,15,18,NA,1,2.1,1.8,18,10,11,3,13
"177","Amine Harit",895,402,486,1332.4,6071,1613,223,252,NA,124,144,1404.2,30,48,NA,2,2.9,2.5,28,41,23,2,47
"178","Amine Salama",532,92,128,955.3,1253,296,48,61,1090,32,44,NA,2,3,NA,1,0.3,0.9,4,5,5,0,6
"179","Amir Rrahmani",981,656,736,976.2,12870,5255,220,237,1014.1,337,356,1039.6,86,121,780.6,0,0.2,0,4,41,2,0,38
"180","Amos Pieper",1102,508,655,1019.7,10429,3976,148,182,1150.1,272,313,NA,84,143,777.6,1,0.2,0.5,2,42,6,2,37
"181","Anatolii Trubin",540,200,260,465.3,4730,3301,56,56,600,101,103,587.9,42,99,245.4,0,0,0,0,0,0,0,0
"182","Ander Barrenetxea",62,14,20,301.7,155,22,11,12,375,1,1,NA,1,2,NA,0,0,0,0,0,0,0,1
"183","Ander Capa",1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"184","Ander Guevara",126,106,116,358.5,1645,369,56,57,NA,43,46,353.6,4,7,NA,0,0.2,0.1,3,19,1,0,8
"185","Ander Herrera",238,126,141,542.8,1843,556,72,76,567,40,43,574.4,7,11,NA,1,0.4,0.4,3,10,3,0,7
"186","Andoni Gorosabel",713,385,450,958.3,6081,2139,204,221,1002.3,143,164,NA,26,38,NA,0,0.3,0.4,5,14,10,3,22
"187","András Schäfer",702,160,213,823.2,2454,532,86,104,919.8,62,74,NA,7,19,NA,0,0.1,0.4,3,20,2,1,11
"188","Andre-Frank Zambo Anguissa",1672,920,1058,1726.5,13297,3629,523,561,1861.1,311,347,1756.7,45,70,NA,6,2.5,1.5,20,86,14,0,65
"189","André Ayew",153,26,31,167.9,361,39,15,18,167.5,8,10,158.3,1,1,NA,0,0,0,0,0,0,0,0
"190","André Gomes",536,337,400,759.9,5600,1616,163,182,797.6,137,150,821.9,27,46,543,0,0.5,0.4,6,35,7,0,31
"191","André Hahn",391,33,83,NA,542,216,15,25,NA,13,26,NA,2,17,NA,0,0,0,1,7,1,0,5
"192","André Onana",1250,445,579,1086.8,11559,8044,117,117,1400,190,195,1365,134,262,722.7,0,0,0,1,8,0,0,1
"193","André Silva",1218,286,387,1596.4,3593,760,184,226,1773.2,75,100,NA,5,9,NA,2,1.9,2,20,15,12,0,26
"194","Andrea Barberis",316,133,158,507,2154,599,64,72,NA,60,70,510.2,7,10,NA,1,0.2,0.2,3,14,1,1,9
"195","Andrea Belotti",368,57,86,704.3,750,157,30,39,NA,16,24,NA,3,4,NA,0,0.5,0.2,6,3,1,0,5
"196","Andrea Cambiaso",906,419,544,1014.7,6235,2317,234,264,1170.8,149,184,1072.3,22,57,599.2,2,1.2,0.7,12,19,7,4,19
"197","Andrea Carboni",167,69,87,305.8,1170,558,33,38,266.1,29,31,383.3,7,14,226.2,0,0.1,0.2,1,3,2,2,6
"198","Andrea Colpani",339,124,151,815.4,1967,339,69,77,NA,43,50,874.1,9,16,NA,0,0.5,0.2,4,10,5,0,10
"199","Andrea Consigli",1350,550,697,1173.8,15936,9685,79,79,1500,225,227,1489.4,244,388,931.1,0,0,0,0,8,0,0,1
"200","Andrea Conti",23,6,11,54.5,76,25,5,7,71.4,1,3,33.3,0,0,NA,0,0,0,0,0,0,0,0
"201","Andrea Petagna",529,93,128,742,1423,168,60,73,817.9,23,38,589,6,7,NA,1,0.5,0.6,6,7,1,0,4
"202","Andrea Pinamonti",1157,154,247,904.8,1859,298,108,146,1093.3,29,60,NA,5,12,NA,0,1,1,9,7,11,2,11
"203","Andrea Ranocchia",47,16,19,84.2,347,109,2,2,100,11,12,91.7,2,4,50,0,0,0,0,2,0,0,0
"204","Andreas Bruus",506,168,245,558.3,3216,1274,72,91,644.1,63,90,508.2,28,52,469.9,1,0.9,1.1,9,16,11,10,13
"205","Andreas Christensen",804,740,789,1032.4,14057,4320,249,265,1040.8,423,433,1076.6,59,80,775.2,0,0,0,2,57,0,0,35
"206","Andreas Cornelius",201,39,64,297.1,448,54,25,39,348.3,10,19,NA,1,1,NA,0,0.4,0.1,4,0,0,0,1
"207","Andreas Pereira",1240,291,474,931.7,5662,1891,131,172,1133.9,99,140,1118.5,53,115,693.8,4,2.8,2,35,36,11,4,28
"208","Andreas Skov Olsen",427,111,162,482.1,1880,556,62,74,578.6,33,46,501.6,14,24,393.4,1,0.7,0.5,8,6,6,2,9
"209","Andreas Ulmer",375,123,187,381.3,2125,1041,58,72,443.1,56,78,428.6,8,29,NA,0,0.1,0.2,3,10,5,3,10
"210","Andrei Girotto",1242,556,662,1147.7,11188,3841,185,202,1274,282,315,1227.7,79,123,890.6,1,0.7,0.1,5,50,4,1,37
"211","Andrej Kramarić",1168,372,471,1258.4,5684,1186,212,236,1451.1,119,148,1285,27,46,NA,2,0.8,1.2,15,45,13,2,35
"212","Andrés Guardado",344,145,180,635.7,2714,810,67,75,NA,59,69,NA,18,29,NA,0,0.4,0.3,4,11,2,0,12
"213","Andrew Gravillon",1032,325,440,877.2,6220,2447,123,153,919.5,158,190,985.7,38,75,618.4,0,0.3,0.6,2,30,4,2,34
"214","Andrew Robertson",1060,767,963,1209.5,13044,4277,382,418,1375.2,300,365,1215.7,68,128,865,6,3.2,2.9,32,46,17,10,49
"215","Andrey Lunyov",90,35,44,79.5,880,696,9,9,100,17,19,89.5,9,16,56.3,0,0,0,0,1,0,0,0
"216","Andries Noppert",270,87,101,260.3,2043,1448,17,17,300,49,49,300,21,34,185.3,0,0,0,0,0,0,0,0
"217","Andrija Živković",133,50,67,149.8,745,286,25,26,190.9,18,23,156.4,4,12,75,2,1.1,0.8,4,5,3,0,5
"218","Andriy Lunin",540,159,173,555.7,3459,2401,51,51,600,81,82,594.1,27,39,355.1,0,0,0,0,0,0,0,0
"219","Andriy Totovytskyi",17,5,6,83.3,80,22,3,3,100,1,1,100,1,1,100,0,0,0,0,0,0,0,0
"220","Andy Delort",746,131,217,724.6,2012,522,72,104,809.4,41,72,NA,11,24,NA,0,0.9,0.5,9,15,7,1,14
"221","Ángel Algobia",362,123,151,616.3,1990,422,63,76,627.4,44,47,758.8,10,14,NA,0,0.2,0.1,3,8,3,3,6
"222","Ángel Correa",828,261,328,NA,3221,719,164,185,NA,54,70,NA,12,25,NA,1,1.6,1.6,15,13,14,3,24
"223","Ángel Di María",551,183,249,886.1,3261,1122,99,109,1119.5,55,76,NA,27,48,666.7,5,2.6,1.7,14,18,13,3,26
"224","Angel Gomes",1097,625,732,1172.6,10853,3004,291,320,1269.8,246,267,1247.4,68,113,805.2,1,1.2,1.1,13,77,8,0,54
"225","Ángel Rodríguez",149,19,26,396.9,241,17,11,11,NA,5,9,NA,1,2,NA,0,0,0,2,1,0,0,1
"226","Angeliño",1174,471,706,934.2,8903,3352,194,234,NA,203,286,980.7,69,145,NA,3,2.7,3.2,30,35,27,17,47
"227","Angelo Fulgini",493,172,216,1152,2294,666,113,124,1312.7,43,63,NA,6,15,NA,1,0.6,0.3,6,13,10,1,22
"228","Angelo Ogbonna",27,4,8,106.7,89,9,0,0,NA,3,5,116.7,1,3,100,0,0.1,0,1,0,0,0,0
